Company,Category,Phone,Phone source,Email,Website,Address,City,Map,OSM
A & M Manufacturing,Boat builder,(352) 542-7152,OpenStreetMap,,,"26988 SE Hwy 19, Old Town, FL 32680",Old Town,"https://www.google.com/maps/search/?api=1&query=29.5922157,-82.9654563",https://www.openstreetmap.org/node/3667962117
"Crystal Cay Building & Marine, Inc.",Boat builder,(941) 639-6603,OpenStreetMap,,https://crystalcay.com/,"4225 Taylor Road, Punta Gorda, FL 33950",Punta Gorda,"https://www.google.com/maps/search/?api=1&query=26.8995378,-82.0167855",https://www.openstreetmap.org/node/6691074732
Bob Bonner Marine Construction,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=29.8818388,-81.3242812",https://www.openstreetmap.org/way/665702953
Consignment Boat Sales,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=30.3951944,-81.4279636",https://www.openstreetmap.org/way/351672701
Hurricane Boat Lifts,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=24.9763576,-80.5522705",https://www.openstreetmap.org/node/14054243776
Jean Street Shipyard,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=28.0045063,-82.4686851",https://www.openstreetmap.org/way/1237001824
Red Bay Marine Repairs,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=29.9800112,-81.6489156",https://www.openstreetmap.org/way/348821487
Sandy Hook Yachts,Boat builder,,,,,"2072 Davis Boulevard, Naples, FL 34104",Naples,"https://www.google.com/maps/search/?api=1&query=26.1379673,-81.7789323",https://www.openstreetmap.org/way/523951593
Tampa Shipyard,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=27.9262759,-82.443983",https://www.openstreetmap.org/way/971109706
Trident Pontoons,Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=28.7662459,-81.7514748",https://www.openstreetmap.org/node/13423206895
"Young Boats, Inc.",Boat builder,,,,,,,"https://www.google.com/maps/search/?api=1&query=29.037232,-82.668107",https://www.openstreetmap.org/node/2326076177
All Pro Watercraft & ATV Services Inc,Boat sales,(850) 747-9283,OpenStreetMap,,http://allprowatercraftandatv.com,"3032 Transmitter Road, Panama City, FL 32404",Panama City,"https://www.google.com/maps/search/?api=1&query=30.2034654,-85.6073223",https://www.openstreetmap.org/node/4597438419
Allied Marine,Boat sales,(239) 262-6500,OpenStreetMap,,https://www.alliedmarine.com/,"909 10th Street South, Naples, FL 34102",Naples,"https://www.google.com/maps/search/?api=1&query=26.1374806,-81.7915952",https://www.openstreetmap.org/node/13931285591
Allwater Marine,Boat sales,,,,https://allwatermarine.com/,"2751 Avenue of the America, Englewood, FL 34224",Englewood,"https://www.google.com/maps/search/?api=1&query=26.9174485,-82.3090515",https://www.openstreetmap.org/node/13411413245
Antonietti Marine Largo,Boat sales,(727) 862-0776,OpenStreetMap,,https://www.antoniettimarine.com,"7249 Ulmerton Road, Largo",Largo,"https://www.google.com/maps/search/?api=1&query=27.8947997,-82.7379795",https://www.openstreetmap.org/way/236992935
Atlantic Marine,Boat sales,(386) 788-1644,OpenStreetMap,,https://www.atlanticmarinefl.com/,"520 Dunlawton Avenue, Port Orange, FL 32129",Port Orange,"https://www.google.com/maps/search/?api=1&query=29.1416364,-80.993227",https://www.openstreetmap.org/way/926456586
Blue Paradise Watersports,Boat sales,(904) 451-2855,OpenStreetMap,blueparadisewatersports@outlook.com,https://www.blueparadisewatersports.com/,"6501 Arlington Expressway Service Road, Jacksonville, FL 32211",Jacksonville,"https://www.google.com/maps/search/?api=1&query=30.3279771,-81.5907107",https://www.openstreetmap.org/node/13424112085
